Company Name,Rating,Reviews,Industry,Location,Extra Locations
Ekart Logistics,3.9,(6.1k),Bangalore / Bengaluru +702 other locations,,N/A
Axis Max Life Insurance,4.1,(6.1k),Insurance,New Delhi,+464 other locations
Ujjivan Small Finance Bank,4.0,(6k),Banking,Bangalore / Bengaluru,+505 other locations
FIS,3.9,(5.9k),FinTech,Pune,+57 other locations
HCL Group,3.6,(5.8k),IT Services & Consulting,Chennai,+93 other locations
Tata Projects,4.2,(5.8k),Engineering & Construction,Mumbai,+265 other locations
Megha Engineering & Infrastructures,3.9,(5.8k),Engineering & Construction,Hyderabad / Secunderabad,+373 other locations
Indian Army,4.7,(5.7k),Defence & Aerospace,New Delhi,+349 other locations
IIFL Finance,4.0,(5.7k),NBFC,Mumbai,+755 other locations
Oracle,3.7,(5.6k),Software Product,Bangalore / Bengaluru,+53 other locations
L&T Technology Services,3.2,(5.6k),IT Services & Consulting,Bangalore / Bengaluru,+89 other locations
Coforge,3.3,(5.5k),IT Services & Consulting,Noida,+101 other locations
Bajaj Allianz Life Insurance,3.9,(5.5k),Insurance,Pune,+572 other locations
eClerx,3.2,(5.5k),IT Services & Consulting,Pune,+28 other locations
Muthoot Finance,3.6,(5.5k),NBFC,Bangalore / Bengaluru,+727 other locations
Virtusa Consulting Services,3.7,(5.4k),IT Services & Consulting,Hyderabad / Secunderabad,+50 other locations
JLL,4.1,(5.4k),Real Estate,Gurgaon / Gurugram,+75 other locations
Omega Healthcare,3.7,(5.4k),BPO,Chennai,+63 other locations
HSBC Group,3.9,(5.3k),Financial Services,Bangalore / Bengaluru,+62 other locations
Indiamart Intermesh,3.6,(5.2k),Internet,Noida,+164 other locations
Udaan,3.9,(5.2k),Internet,Bangalore / Bengaluru,+349 other locations
Aurobindo Pharma,4.0,(5.2k),Pharma,Hyderabad / Secunderabad,+103 other locations
Cholamandalam Investment & Finance,3.9,(5.2k),Financial Services,Chennai,+761 other locations
Siemens,4.0,(5.2k),Industrial Automation,Bangalore / Bengaluru,+147 other locations
Shapoorji Pallonji Group,4.1,(5.1k),Engineering & Construction,Mumbai,+183 other locations
Standard Chartered,3.6,(5.1k),Banking,Chennai,+67 other locations
DMart,3.9,(5.1k),Retail,Mumbai,+231 other locations
Firstsource Solutions,3.6,(5.1k),BPO,Bangalore / Bengaluru,+68 other locations
CGI Group,4.0,(5k),IT Services & Consulting,Bangalore / Bengaluru,+42 other locations
GlobalLogic,3.6,(5k),IT Services & Consulting,Hyderabad / Secunderabad,+54 other locations
ICICI Lombard General Insurance Company,3.6,(5k),Insurance,Mumbai,+295 other locations
Bosch Global Software Technologies,3.8,(5k),IT Services & Consulting,Bangalore / Bengaluru,+41 other locations
Apollo Hospitals,4.0,(5k),Healthcare,Chennai,+215 other locations
BigBasket,3.9,(5k),Internet,Bangalore / Bengaluru,+127 other locations
Ashok Leyland,4.1,(4.9k),Automobile,Chennai,+231 other locations
UST,3.8,(4.9k),IT Services & Consulting,Bangalore / Bengaluru,+48 other locations
Cyient,3.6,(4.9k),IT Services & Consulting,Hyderabad / Secunderabad,+43 other locations
Mahindra Finance,4.0,(4.9k),NBFC,Mumbai,+697 other locations
Citicorp,3.7,(4.9k),Financial Services,Pune,+65 other locations
SMFG India Credit,3.9,(4.9k),NBFC,Mumbai,+560 other locations
