Company Name,Rating,Reviews,Industry,Location,Extra Locations
Medusind Solutions,3.6,(756),IT Services & Consulting,Chennai,+10 other locations
Royal Sundaram General Insurance,3.9,(757),Insurance,Chennai,+100 other locations
Investors Clinic,3.9,(757),Real Estate,Noida,+32 other locations
Skipper,3.7,(757),Industrial Machinery,Kolkata,+77 other locations
Dunzo,3.4,(756),Internet,Bangalore / Bengaluru,+20 other locations
Silaris Informations,3.3,(756),BPO,New Delhi,+21 other locations
Shilpa Medicare,3.5,(753),Pharma,Hyderabad / Secunderabad,+29 other locations
KGISL,3.1,(752),IT Services & Consulting,Coimbatore,+19 other locations
HP India,4.0,(752),Consumer Electronics & Appliances,Bangalore / Bengaluru,+57 other locations
Guardian India,3.9,(751),Insurance,Chennai,+11 other locations
Steag Energy Services,4.3,(749),Power,Jharsuguda,+50 other locations
National Health Mission,3.5,(750),Healthcare,Guwahati,+255 other locations
Unity Small Finance Bank,3.8,(749),Banking,Mumbai,+115 other locations
Tata Starbucks,4.2,(748),Hospitality,Mumbai,+46 other locations
1 India Family Mart,4.6,(746),Retail,New Delhi,+97 other locations
Navayuga Engineering Company,4.0,(746),Engineering & Construction,Hyderabad / Secunderabad,+63 other locations
SLMG Beverages,4.0,(746),Beverage,Lucknow,+66 other locations
Cigniti Technologies,3.7,(745),IT Services & Consulting,Hyderabad / Secunderabad,+9 other locations
Fluor Corporation,4.3,(745),Gurgaon / Gurugram +25 other locations,,N/A
Huhtamaki,3.9,(744),Packaging,Mumbai,+37 other locations
Ford Business Solutions,4.3,(744),IT Services & Consulting,Chennai,+47 other locations
Ashirvad Pipes,4.1,(744),Building Material,Bangalore / Bengaluru,+98 other locations
Vijay Sales,4.1,(744),Retail,Mumbai,+49 other locations
Ups Logistics,3.6,(743),Logistics,Pune,+36 other locations
Technip Energies,4.0,(742),Engineering & Construction,Chennai,+36 other locations
Tata Hitachi Construction Machinery,4.0,(742),Industrial Machinery,Kharagpur,+72 other locations
LanceSoft,3.2,(741),Recruitment,Hyderabad / Secunderabad,+28 other locations
Psp Projects,3.8,(741),Engineering & Construction,Ahmedabad,+52 other locations
SLK Global Services,3.8,(740),BPO,Bangalore / Bengaluru,+8 other locations
Rico Auto Industries,3.8,(739),Auto Components,Gurgaon / Gurugram,+29 other locations
Integra Software Services,3.8,(738),IT Services & Consulting,Pondicherry / Puducherry,+16 other locations
Greaves Cotton,4.0,(738),Auto Components,Aurangabad,+45 other locations
NTT,3.9,(738),IT Services & Consulting,Mumbai,+41 other locations
IMPACT Infotech,3.4,(738),Recruitment,Mumbai,+68 other locations
Artech Infosystems,3.4,(736),Bangalore / Bengaluru +20 other locations,,N/A
Fareportal,3.3,(737),Internet,Gurgaon / Gurugram,+13 other locations
CIEL HR,3.9,(737),Recruitment,Bangalore / Bengaluru,+98 other locations
Torry Harris Integration Solutions,4.3,(737),IT Services & Consulting,Bangalore / Bengaluru,+9 other locations
eTeam,3.2,(736),Recruitment,Bangalore / Bengaluru,+20 other locations
Deepak Fertilisers and Petrochemicals,3.9,(737),Chemicals,Mumbai,+53 other locations
Orient Electric,3.7,(734),Consumer Electronics & Appliances,New Delhi,+71 other locations
Jaya Hind Industries,3.7,(733),Auto Components,Pune,+28 other locations
Swaraj Tractors,4.1,(732),Automobile,Mohali,+92 other locations
Orion Edutech,3.1,(732),EdTech,Kolkata,+112 other locations
Ageas Federal Life Insurance,3.7,(732),Insurance,Mumbai,+118 other locations
National Payments Corporation of India,3.9,(732),Mumbai +11 other locations,,N/A
Hinduja Housing Finance,3.7,(732),NBFC,New Delhi,+187 other locations
Acme Cleantech Solutions,3.8,(732),Industrial Machinery,Gurgaon / Gurugram,+90 other locations
Teamware Solutions,4.2,(730),Recruitment,Hyderabad / Secunderabad,+25 other locations
Bill Gosling Outsourcing India,3.5,(729),BPO,Gurgaon / Gurugram,+14 other locations
Union Bank of India,3.8,(729),Banking,Mumbai,+141 other locations
Border Security Force,4.4,(729),Law Enforcement & Security,New Delhi,+103 other locations
Vertex Customer Solutions,3.8,(728),IT Services & Consulting,Chennai,+32 other locations
CADD Centre Training Services,3.9,(728),Education & Training,Chennai,+131 other locations
Shaktiman Tirth Agro Technology,4.0,(730),Rajkot +54 other locations,,N/A
WSP,4.2,(727),Management Consulting,Bangalore / Bengaluru,+29 other locations
ffreedom app,3.6,(727),Internet,Bangalore / Bengaluru,+26 other locations
Thryve Digital,3.8,(729),IT Services & Consulting,Chennai,+7 other locations
Rohan Builders,4.2,(726),Real Estate,Pune,+67 other locations
Carborundum Universal Limited,3.8,(726),Metals & Mining,Chennai,+104 other locations
Bpo Convergence,3.6,(724),BPO,Hyderabad / Secunderabad,+36 other locations
Luxoft,3.6,(723),IT Services & Consulting,Bangalore / Bengaluru,+22 other locations
Franklin Templeton Investments,4.0,(721),Financial Services,Hyderabad / Secunderabad,+31 other locations
Nexdigm,3.8,(719),Management Consulting,Pune,+11 other locations
Qualitest,3.6,(718),IT Services & Consulting,Bangalore / Bengaluru,+19 other locations
Quatrro Business Support Services,3.4,(717),Gurgaon / Gurugram +13 other locations,,N/A
Porter,3.8,(717),Internet,Bangalore / Bengaluru,+28 other locations
Apar Industries,4.1,(714),Semiconductors,Mumbai,+64 other locations
Sunbeam Auto,3.8,(714),Auto Components,Gurgaon / Gurugram,+29 other locations
Eris Lifesciences,3.7,(713),Pharma,Ahmedabad,+85 other locations
HSBC Software Development,4.2,(713),Pune +8 other locations,,N/A
Simplilearn,3.1,(713),EdTech,Bangalore / Bengaluru,+9 other locations
Eveready Industries,3.8,(714),Consumer Electronics & Appliances,Kolkata,+93 other locations
BNP Paribas India Solutions,3.8,(713),IT Services & Consulting,Mumbai,+9 other locations
"Commonwealth Bank of Australia, India",3.2,(713),Financial Services,Bangalore / Bengaluru,+12 other locations
BNP Paribas India Solutions,3.8,(713),IT Services & Consulting,Mumbai,+9 other locations
XcelServ Solutions,4.4,(711),IT Services & Consulting,New Delhi,+33 other locations
Z X Learning,4.4,(711),EdTech,Lucknow,+89 other locations
Rodic Consultants,4.3,(711),Engineering & Construction,Patna,+127 other locations
IDEMIA,3.9,(712),Electronics Manufacturing,Noida,+46 other locations
Greenlam Industries,4.1,(711),Furniture & Furnishing,New Delhi,+100 other locations
Tata Power Solar,4.1,(711),Power,Bangalore / Bengaluru,+81 other locations
IBS Software Services,3.6,(708),Software Product,Kochi,+18 other locations
Forever Living Products,4.2,(709),Fitness & Wellness,Mumbai,+93 other locations
Samsung E&A,4.0,(709),Engineering & Construction,Noida,+47 other locations
Bitwise Solutions,3.9,(708),IT Services & Consulting,Pune,+9 other locations
Times Internet,3.4,(707),Internet,Noida,+24 other locations
Engineers India,4.3,(707),New Delhi +76 other locations,,N/A
Fedbank Financial Services,4.0,(707),NBFC,Mumbai,+148 other locations
Indo Autotech,3.8,(706),Auto Components,Faridabad,+29 other locations
Maveric Systems,3.5,(706),IT Services & Consulting,Chennai,+10 other locations
THE LEELA PALACES HOTELS & RESORTS,4.1,(706),Hospitality,New Delhi,+32 other locations
Linde India,4.0,(706),Oil & Gas,Vadodara,+52 other locations
Indusind Marketing & Financial Services,3.8,(706),Financial Services,Chennai,+266 other locations
Sykes Business Services Of India,3.4,(704),BPO,Hyderabad / Secunderabad,+18 other locations
Clarivate,3.7,(703),Analytics & KPO,Bangalore / Bengaluru,+15 other locations
Baxter International,3.9,(702),Healthcare,Bangalore / Bengaluru,+29 other locations
Progressive Infotech,3.3,(702),IT Services & Consulting,Noida,+62 other locations
Careernet,3.7,(702),Recruitment,Bangalore / Bengaluru,+23 other locations
Sona Comstar,4.1,(703),Auto Components,Gurgaon / Gurugram,+15 other locations
MAS Financial Services,3.8,(700),NBFC,Ahmedabad,+121 other locations
JSW Paints,3.9,(701),Chemicals,Mumbai,+143 other locations
Zydus Healthcare,4.0,(697),Pharma,Mumbai,+92 other locations
Wipro Infrastructure Engineering,3.8,(698),Industrial Machinery,Bangalore / Bengaluru,+37 other locations
Sutherland Healthcare Solutions,3.8,(696),Analytics & KPO,Hyderabad / Secunderabad,+14 other locations
Mswipe Technologies,3.2,(697),FinTech,Mumbai,+91 other locations
JioStar,3.7,(696),Mumbai +41 other locations,,N/A
Advik Hi Tech,3.7,(696),Auto Components,Pune,+26 other locations
M3M India,4.0,(696),Real Estate,Gurgaon / Gurugram,+8 other locations
Microtek International,3.7,(694),Consumer Electronics & Appliances,New Delhi,+109 other locations
First Advantage,3.7,(695),Recruitment,Bangalore / Bengaluru,+12 other locations
PUMA,4.2,(694),Fashion & Textile,Bangalore / Bengaluru,+93 other locations
Hitachi,4.0,(693),Industrial Machinery,Bangalore / Bengaluru,+80 other locations
Toppr,3.5,(693),EdTech,Mumbai,+42 other locations
JK Paper,4.0,(691),Pulp & Paper,Rayagada,+47 other locations
JK Paper,4.0,(691),Pulp & Paper,Rayagada,+47 other locations
Pratap Technocrats,3.7,(690),Telecom,Ahmedabad,+115 other locations
Veradigm,3.9,(689),Software Product,Pune,+8 other locations
Cohance Lifesciences,3.9,(690),Pharma,Hyderabad / Secunderabad,+22 other locations
Fleetguard Filters,4.2,(689),Auto Components,Pune,+81 other locations
Hitachi Digital Services,3.6,(688),IT Services & Consulting,Hyderabad / Secunderabad,+14 other locations
Alorica,3.1,(687),BPO,Bangalore / Bengaluru,+14 other locations
Syneos Health,3.7,(686),Clinical Research,Gurgaon / Gurugram,+14 other locations
Evision Technoserve,4.8,(685),Pune +44 other locations,,N/A
Amadeus,3.8,(685),Software Product,Bangalore / Bengaluru,+14 other locations
Metso,4.2,(685),Metals & Mining,Alwar,+45 other locations
RR kabel,4.1,(685),Electrical Equipment,Vadodara,+104 other locations
Lea Associates South Asia,4.2,(684),Engineering & Construction,New Delhi,+128 other locations
GirnarSoft,3.6,(684),IT Services & Consulting,Gurgaon / Gurugram,+49 other locations
India Shelter Finance Corporation,3.9,(683),NBFC,Gurgaon / Gurugram,+147 other locations
Embibe,3.5,(684),Bangalore / Bengaluru +20 other locations,,N/A
Denave,3.6,(684),Marketing & Advertising,Noida,+65 other locations
DuPont,4.2,(681),Waste Management,Hyderabad / Secunderabad,+47 other locations
UKG,3.1,(682),Software Product,Noida,+10 other locations
OLX,3.8,(682),Internet,Gurgaon / Gurugram,+56 other locations
K Raheja Corp,4.3,(682),Real Estate,Mumbai,+17 other locations
ESL Steel,4.0,(683),Iron & Steel,Bokaro,+22 other locations
Galfar,4.0,(682),Engineering & Construction,Muscat,+39 other locations
Principal Global Services,3.8,(682),Insurance,Pune,+11 other locations
Assystem,3.6,(680),Power,Chennai,+65 other locations
McDermott International,4.2,(679),Engineering & Construction,Chennai,+30 other locations
Radical Minds,2.9,(679),BPO,Gurgaon / Gurugram,+12 other locations
India Cements,3.8,(679),Building Material,Chennai,+86 other locations
Primus Global Technologies,3.9,(678),IT Services & Consulting,Bangalore / Bengaluru,+27 other locations
Casagrand,3.8,(678),Real Estate,Chennai,+16 other locations
Sun Life Financial,3.9,(676),Financial Services,Gurgaon / Gurugram,+12 other locations
Wipro Consumer Care & Lighting,3.8,(675),FMCG,Bangalore / Bengaluru,+103 other locations
uFaber,2.5,(674),Education & Training,Mumbai,+24 other locations
Parag Milk Foods,4.0,(674),Food Processing,Mumbai,+84 other locations
Finolex Cables,3.8,(674),Electrical Equipment,Pune,+71 other locations
IFFCO,4.0,(673),Agro Chemicals,New Delhi,+103 other locations
KMV Projects Limited,4.2,(672),Engineering & Construction,Hyderabad / Secunderabad,+59 other locations
Poly Medicure,3.5,(673),Medical Equipment,Faridabad,+36 other locations
Wipro PARI,3.2,(671),Industrial Automation,Pune,+23 other locations
LifeCell International,3.3,(671),Biotechnology,Chennai,+74 other locations
LifeCell International,3.3,(671),Biotechnology,Chennai,+74 other locations
Creambell,3.9,(671),Food Processing,New Delhi,+101 other locations
DBG Technology,3.7,(671),Electronics Manufacturing,Bawal,+23 other locations
EMERSON PROCESS MANAGEMENT,4.1,(670),Industrial Machinery,Pune,+30 other locations
Central Industrial Security Force,4.4,(671),Law Enforcement & Security,New Delhi,+82 other locations
Somany Ceramics,4.1,(669),Building Material,New Delhi,+76 other locations
Chennai Radha Engineering Works,3.9,(668),Engineering & Construction,Chennai,+50 other locations
Action Construction Equipment,3.7,(669),Industrial Machinery,Faridabad,+52 other locations
Hilti,3.5,(669),Industrial Machinery,Gurgaon / Gurugram,+46 other locations
Kurlon,4.2,(668),Furniture & Furnishing,Bangalore / Bengaluru,+88 other locations
Satya MicroCapital,3.6,(667),Financial Services,New Delhi,+157 other locations
Toyo Engineering,3.9,(667),Engineering & Construction,Mumbai,+38 other locations
Future Supply Chain Solutions,4.3,(667),Logistics,Nagpur,+67 other locations
UnitedLex,2.9,(668),Legal,New Delhi,+8 other locations
Integreon,3.2,(669),Legal,Mumbai,+11 other locations
Mott MacDonald,4.1,(666),Management Consulting,Mumbai,+47 other locations
RenewBuy,3.4,(667),Internet,Gurgaon / Gurugram,+101 other locations
Forvia Hella,3.9,(666),Auto Components,Pune,+29 other locations
Truhome Finance,3.7,(666),FinTech,Mumbai,+141 other locations
Ask Automotive,4.1,(665),Auto Components,Gurgaon / Gurugram,+27 other locations
Prama Hikvision India,3.6,(665),Electronics Manufacturing,Mumbai,+52 other locations
Isuzu Motors,4.2,(665),Automobile,Chennai,+34 other locations
Zee Entertainment Enterprises,3.5,(664),Media & Entertainment,Mumbai,+31 other locations
Sharda Motor Industries,3.8,(662),Auto Components,Chennai,+25 other locations
Intellipaat Software Solutions,3.6,(666),Bangalore / Bengaluru +20 other locations,,N/A
Ather Energy,4.0,(663),Automobile,Bangalore / Bengaluru,+55 other locations
CMS Computers Limited (INDIA),3.7,(662),IT Services & Consulting,New Delhi,+70 other locations
Wipro Digital,3.5,(661),IT Services & Consulting,Bangalore / Bengaluru,+27 other locations
People Tech Group,2.6,(661),IT Services & Consulting,Hyderabad / Secunderabad,+13 other locations
Novac Technology Solutions,3.8,(661),Software Product,Chennai,+23 other locations
Fidelity International,3.8,(659),Financial Services,Gurgaon / Gurugram,+14 other locations
TO THE NEW,3.7,(659),IT Services & Consulting,Noida,+19 other locations
Biba Apparels,3.6,(659),Fashion & Textile,New Delhi,+93 other locations
Bunge India,3.9,(659),Food Processing,Mohali,+65 other locations
Jai Balaji Group,3.3,(659),Iron & Steel,Durgapur,+35 other locations
Snapdeal,3.8,(658),Internet,Gurgaon / Gurugram,+31 other locations
Bses Rajdhani Power,3.8,(660),Power,New Delhi,+17 other locations
McKinsey & Company,3.8,(657),Management Consulting,Gurgaon / Gurugram,+24 other locations
Allied Digital Services,3.2,(658),IT Services & Consulting,Mumbai,+50 other locations
Travel Food Services Ltd,4.0,(655),Hospitality,Mumbai,+32 other locations
Travel Food Services Ltd,4.0,(655),Hospitality,Mumbai,+32 other locations
Expleo Solutions,3.6,(656),IT Services & Consulting,Chennai,+16 other locations
Axtria,2.9,(656),Software Product,Gurgaon / Gurugram,+8 other locations
Praj Industries,4.1,(655),Biotechnology,Pune,+37 other locations
Hapag-Lloyd,3.8,(656),IT Services & Consulting,Chennai,+13 other locations
VA Tech Wabag,3.9,(654),Waste Management,Chennai,+46 other locations
Vijaya Diagnostic Centre,3.8,(654),Healthcare,Hyderabad / Secunderabad,+34 other locations
HSBC Bank,3.9,(653),Banking,Hyderabad / Secunderabad,+38 other locations
TCNS Clothing Company,4.1,(653),Fashion & Textile,New Delhi,+104 other locations
Reliance Smart,4.2,(653),Retail,Mumbai,+222 other locations
Mynd Solutions Private,3.7,(653),BPO,Gurgaon / Gurugram,+32 other locations
Quess IT Staffing Solutions,3.2,(652),Bangalore / Bengaluru +54 other locations,,N/A
Religare,3.8,(651),Financial Services,New Delhi,+95 other locations
Adidas,3.9,(651),Fashion & Textile,Gurgaon / Gurugram,+67 other locations
Credence Resource Management,3.3,(649),BPO,Pune,+8 other locations
National Informatics Centre,3.9,(648),Government,New Delhi,+75 other locations
Boeing,3.9,(647),Aviation,Bangalore / Bengaluru,+12 other locations
Deepak Nitrite,4.0,(647),Chemicals,Vadodara,+17 other locations
Wakefit,3.9,(647),Furniture & Furnishing,Bangalore / Bengaluru,+45 other locations
Wapcos,3.5,(644),Engineering & Construction,New Delhi,+135 other locations
L&T Power,3.9,(644),Power,Vadodara,+95 other locations
Rane (Madras),3.9,(642),Auto Components,Chennai,+29 other locations
India Japan Lighting,4.2,(643),Auto Components,Chennai,+29 other locations
Kutumbh Care,3.8,(642),Recruitment,Noida,+159 other locations
BDO India LLP,3.3,(642),Accounting & Auditing,Mumbai,+34 other locations
Tavant Technologies,3.9,(642),IT Services & Consulting,Bangalore / Bengaluru,+15 other locations
Lovely Professional University,3.4,(642),Education & Training,Jalandhar,+26 other locations
Steel Authority Of India,4.0,(642),Iron & Steel,Rourkela,+42 other locations
Government of India,4.3,(642),Government,New Delhi,+152 other locations
The Akshaya Patra Foundation,4.5,(641),Non-Profit,Bangalore / Bengaluru,+66 other locations
Videocon d2h,3.9,(640),Internet,New Delhi,+115 other locations
Cohesity,3.9,(639),Software Product,Pune,+43 other locations
Molex,3.9,(640),Semiconductors,Bangalore / Bengaluru,+17 other locations
Bristlecone,3.6,(639),IT Services & Consulting,Bangalore / Bengaluru,+15 other locations
Bikanervala,3.9,(638),FMCG,New Delhi,+63 other locations
Neeyamo Enterprise Solutions,3.6,(638),Pune +10 other locations,,N/A
TDK India Private Limited,3.8,(636),Semiconductors,Nashik,+24 other locations
Transsion,4.0,(637),Consumer Electronics & Appliances,Noida,+62 other locations
Waaree Energies,4.0,(636),Power,Surat,+46 other locations
Sandvik Asia,4.2,(636),Industrial Machinery,Pune,+36 other locations
Rentokil Pest Control,3.6,(634),Facility Management Services,Mumbai,+107 other locations
Ameriprise Financial,3.8,(634),Financial Services,Gurgaon / Gurugram,+11 other locations
Experis IT,3.0,(634),Recruitment,Bangalore / Bengaluru,+34 other locations
NSB Bpo Solutions,2.9,(633),BPO,Noida,+81 other locations
DAV Public School,4.0,(633),Education & Training,New Delhi,+146 other locations
Nvidia,3.5,(633),Hardware & Networking,Pune,+21 other locations
Sterlite Power,4.0,(634),Power,New Delhi,+72 other locations
Zuventus Healthcare,4.0,(632),Pharma,Mumbai,+84 other locations
Ag Industries,3.9,(631),Auto Components,Gurgaon / Gurugram,+27 other locations
Wuerth,3.7,(630),Industrial Machinery,Pune,+61 other locations
Rashmi Group,3.8,(630),Iron & Steel,Kharagpur,+24 other locations
JM Financial,3.7,(631),Financial Services,Mumbai,+60 other locations
Csc E Governance Services,3.9,(630),Government,New Delhi,+195 other locations
Aequs,3.6,(628),Defence & Aerospace,Belgaum,+12 other locations
Greenply,3.8,(628),Furniture & Furnishing,Kolkata,+83 other locations
Reliance BP Mobility,3.5,(628),Oil & Gas,Mumbai,+95 other locations
Flash Electronics,3.5,(628),Electronics Manufacturing,Pune,+21 other locations
Karvy Stock Broking,3.6,(627),Hyderabad / Secunderabad +105 other locations,,N/A
Amber Enterprises India,3.9,(626),Electrical Equipment,Gurgaon / Gurugram,+40 other locations
Aisin Automotive Haryana,4.1,(626),Auto Components,Rohtak,+27 other locations
NecLife,3.6,(627),Pharma,Chandigarh,+24 other locations
Testbook.com,3.5,(625),EdTech,Noida,+31 other locations
Vaaman Engineers,3.9,(625),Engineering & Construction,Jharsuguda,+40 other locations
Redington,4.0,(624),Hardware & Networking,Chennai,+47 other locations
Smollan Group,4.0,(623),Marketing & Advertising,Mumbai,+122 other locations
Cogoport,3.1,(625),Internet,Mumbai,+13 other locations
Redcliffe Labs,4.0,(624),Healthcare,New Delhi,+76 other locations
Orient Cement,4.4,(622),Building Material,Hyderabad / Secunderabad,+67 other locations
Celebal Technologies,3.1,(622),Software Product,Jaipur,+19 other locations
Ihg Group,3.8,(622),Hospitality,New Delhi,+45 other locations
Motherson Sumi Wiring,3.7,(622),Electrical Equipment,Noida,+35 other locations
Caparo Engineering India,4.0,(620),Auto Components,Chennai,+34 other locations
Raychem RPG,3.8,(621),Electrical Equipment,Mumbai,+30 other locations
NRB Bearings,4.1,(620),Auto Components,Aurangabad,+21 other locations
Moglix,3.4,(620),Internet,Noida,+38 other locations
Titan Eye Plus,4.3,(619),Other,Kolkata,+123 other locations
PeopleStrong,3.4,(619),Recruitment,Gurgaon / Gurugram,+19 other locations
TIAA Global Business Services,3.9,(618),Financial Services,Pune,+8 other locations
Thriveni Earthmovers,4.0,(618),Metals & Mining,Jamshedpur,+41 other locations
BASF,4.3,(618),Chemicals,Mumbai,+85 other locations
BASF,4.3,(618),Chemicals,Mumbai,+85 other locations
Thriveni Earthmovers,4.0,(618),Metals & Mining,Jamshedpur,+41 other locations
Diebold Nixdorf,3.7,(617),IT Services & Consulting,Hyderabad / Secunderabad,+44 other locations
Micro Turners,3.9,(616),Auto Components,Baddi,+38 other locations
V-Trans,3.9,(616),Logistics,Mumbai,+81 other locations
RITES,3.9,(616),Engineering & Construction,Gurgaon / Gurugram,+77 other locations
Visteon,3.4,(617),Software Product,Chennai,+19 other locations
Neuland Laboratories,4.1,(616),Pharma,Hyderabad / Secunderabad,+7 other locations
Writer Corporation,3.6,(616),Facility Management Services,Mumbai,+82 other locations
Bayer Crop Science Vegetable Seeds,4.2,(616),Bangalore / Bengaluru +128 other locations,,N/A
Medreich,3.8,(615),Pharma,Bangalore / Bengaluru,+12 other locations
Mitsubishi Electric India,4.2,(616),Electronics Manufacturing,Pune,+48 other locations
Amrit Cement,4.1,(614),Building Material,Guwahati,+45 other locations
Lenovo,4.2,(614),Consumer Electronics & Appliances,Bangalore / Bengaluru,+79 other locations
Google Operations Center,3.6,(615),Internet,Hyderabad / Secunderabad,+17 other locations
Ness Digital Engineering,3.4,(613),IT Services & Consulting,Bangalore / Bengaluru,+11 other locations
BSH Home Appliances Group,3.9,(614),Consumer Electronics & Appliances,Bangalore / Bengaluru,+52 other locations
Alivus Life Sciences,3.8,(612),Pharma,Ankleshwar,+21 other locations
Housing.com,3.7,(612),Internet,Gurgaon / Gurugram,+41 other locations
Ramky Infrastructure,4.2,(611),Engineering & Construction,Hyderabad / Secunderabad,+47 other locations
Ingram Micro,3.7,(611),IT Services & Consulting,Mumbai,+47 other locations
Aurigo,4.7,(611),Software Product,Bangalore / Bengaluru,+4 other locations
Gartner,4.1,(609),Management Consulting,Gurgaon / Gurugram,+16 other locations
Livguard,3.9,(608),Electronics Manufacturing,Gurgaon / Gurugram,+82 other locations
Osource Global,3.7,(608),BPO,Mumbai,+25 other locations
Technotask Business Solutions,3.6,(607),BPO,Bhopal,+19 other locations
Turtlemint,3.6,(607),Internet,Mumbai,+102 other locations
Epicenter Technologies,3.3,(607),BPO,Mumbai,+8 other locations
Keventer,3.9,(607),FMCG,Kolkata,+63 other locations
ManipalCigna Health Insurance,3.9,(607),Insurance,Mumbai,+112 other locations
MPS Limited,3.5,(606),Content Development,Dehradun,+20 other locations
Doosan Power Systems,4.3,(609),Power,Gurgaon / Gurugram,+30 other locations
Vastu Housing Finance,4.2,(606),Financial Services,Mumbai,+142 other locations
Bharat Serums and Vaccines,4.0,(607),Pharma,Mumbai,+58 other locations
ASG Eye Hospital,3.5,(604),Healthcare,Jaipur,+72 other locations
BCD Travel,4.3,(605),Travel & Tourism,Bangalore / Bengaluru,+11 other locations
Marlabs,3.4,(604),IT Services & Consulting,Bangalore / Bengaluru,+12 other locations
Ugam Solution,3.6,(603),IT Services & Consulting,Mumbai,+14 other locations
Delta Electronics,4.0,(603),Electronics Manufacturing,Bangalore / Bengaluru,+39 other locations
Times Group,3.7,(603),Printing & Publishing,Mumbai,+47 other locations
HRH Next Services,3.0,(602),BPO,Hyderabad / Secunderabad,+19 other locations
Alshaya Group,3.8,(602),Retail,Bangalore / Bengaluru,+27 other locations
Care Hospital,4.1,(602),Healthcare,Hyderabad / Secunderabad,+38 other locations
BankBazaar,3.3,(602),FinTech,Chennai,+15 other locations
Office Beacon,4.7,(602),BPO,Vadodara,+19 other locations
Infor Global Solution,4.0,(602),Software Product,Hyderabad / Secunderabad,+9 other locations
Goodyear,3.6,(601),Auto Components,Aurangabad,+62 other locations
Quislex Legal Services,4.0,(600),Legal,Hyderabad / Secunderabad,+9 other locations
MothersonSumi INfotech & Designs,3.3,(600),IT Services & Consulting,Noida,+18 other locations
Hitachi Systems Micro Clinic,4.0,(599),IT Services & Consulting,Mumbai,+78 other locations
Polaris Consulting,3.9,(599),IT Services & Consulting,Hyderabad / Secunderabad,+18 other locations
Zudio,3.9,(599),Retail,Bangalore / Bengaluru,+118 other locations
Five-Star Business Finance,4.3,(597),NBFC,Chennai,+197 other locations
Saint Gobain Glass,4.0,(598),Building Material,Chennai,+56 other locations
Sanghi Industries,3.8,(598),Building Material,Ahmedabad,+31 other locations
PPG Asian Paints,3.8,(599),Chemicals,Mumbai,+54 other locations
Nihilent,3.3,(598),IT Services & Consulting,Pune,+8 other locations
Omaxe,4.1,(597),Real Estate,New Delhi,+24 other locations
Patel Engineering,4.0,(598),Engineering & Construction,Mumbai,+64 other locations
Lionbridge Technologies,3.6,(598),Content Development,Mumbai,+13 other locations
Columbia Asia,4.6,(597),Healthcare,Bangalore / Bengaluru,+19 other locations
TTK Prestige,3.9,(597),Consumer Electronics & Appliances,Bangalore / Bengaluru,+77 other locations
Orient Technologies,3.7,(596),IT Services & Consulting,Mumbai,+48 other locations
Qatar Airways,3.8,(595),Aviation,Ahmedabad,+25 other locations
Writer Information Management Services,3.3,(596),BPO,Mumbai,+56 other locations
Protiviti,3.2,(595),Management Consulting,Gurgaon / Gurugram,+26 other locations
ChannelPlay,3.8,(596),Marketing & Advertising,Gurgaon / Gurugram,+81 other locations
Nomura Holdings,3.7,(594),Investment Banking / Venture Capital / Private Equity,Mumbai,+11 other locations
Encore Capital Group,4.0,(594),IT Services & Consulting,Gurgaon / Gurugram,+4 other locations
Tata Power Delhi Distribution,3.8,(593),Power,New Delhi,+34 other locations
Optimum Infosystem,3.3,(593),IT Services & Consulting,Chennai,+15 other locations
Blue Yonder,3.8,(592),Software Product,Bangalore / Bengaluru,+15 other locations
Cotiviti,3.7,(591),Analytics & KPO,Hyderabad / Secunderabad,+10 other locations
The Lalit,3.6,(592),Hospitality,New Delhi,+30 other locations
Prince Pipes & Fittings,4.2,(593),Building Material,Mumbai,+68 other locations
Razorpay,3.5,(592),FinTech,Bangalore / Bengaluru,+25 other locations
Progressive Infovision,4.0,(591),Recruitment,New Delhi,+74 other locations
Asb International,3.8,(590),Industrial Machinery,Mumbai,+20 other locations
Dhanuka Agritech,3.7,(590),Agro Chemicals,Gurgaon / Gurugram,+105 other locations
ShareChat,3.6,(590),Internet,Bangalore / Bengaluru,+42 other locations
Dhani Services,3.6,(589),Mumbai +77 other locations,,N/A
Surya Roshni,4.3,(589),Real Estate,New Delhi,+66 other locations
BDO,3.3,(590),Mumbai +31 other locations,,N/A
Ramkrishna Forgings,3.6,(588),Auto Components,Jamshedpur,+23 other locations
Yatra,3.3,(588),Travel & Tourism,Gurgaon / Gurugram,+19 other locations
Bisk Farm,3.9,(588),Food Processing,Kolkata,+114 other locations
Welspun World,3.7,(587),Building Material,Mumbai,+47 other locations
EPL Limited,3.9,(587),Packaging,Mumbai,+33 other locations
Rane NSK Steering Systems,4.1,(587),Auto Components,Rewari,+25 other locations
ICA Edu Skills,4.0,(586),Education & Training,Kolkata,+115 other locations
Crowne Plaza,3.9,(586),Hospitality,New Delhi,+34 other locations
NoBrokerHood,3.0,(586),Software Product,Bangalore / Bengaluru,+29 other locations
Mindarika,3.9,(585),Auto Components,Gurgaon / Gurugram,+26 other locations
Vizag Steel,4.0,(585),Iron & Steel,Visakhapatnam,+25 other locations
Centaur Pharmaceuticals,3.6,(585),Pharma,Pune,+63 other locations
Nibav Lifts,3.8,(585),Industrial Machinery,Chennai,+36 other locations
